City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Bonavista,CA,2021-05-31 01:35:00,48.6499,-53.1147,46.4,75,25,7.43
205,Ergani,TR,2021-05-31 01:35:01,38.2653,39.7621,57.92,34,0,0.58
206,Marsh Harbour,BS,2021-05-31 01:35:01,26.5412,-77.0636,78.39,78,97,11.74
207,Kruisfontein,ZA,2021-05-31 01:35:01,-34.0033,24.7314,46.89,79,79,6.04
208,Conceicao Do Araguaia,BR,2021-05-31 01:35:02,-8.2578,-49.2647,78.93,69,0,2.24
209,Kaitangata,NZ,2021-05-31 01:35:02,-46.2817,169.8464,50.94,91,100,7.38
210,Kargasok,RU,2021-05-31 01:35:03,59.0556,80.8572,69.26,50,92,11.1
211,Brae,GB,2021-05-31 01:35:03,60.3964,-1.353,46.31,96,29,9.64
212,Ixtapa,MX,2021-05-31 01:35:03,20.7,-105.2,79.83,74,1,6.91
213,Camacha,PT,2021-05-31 01:35:04,33.0833,-16.3333,60.22,72,40,6.91
214,Inta,RU,2021-05-31 01:35:04,66.0317,60.1659,37.2,65,87,11.68
215,Salalah,OM,2021-05-31 01:35:04,17.0151,54.0924,80.69,94,75,4.61
216,Hualmay,PE,2021-05-31 01:31:00,-11.0964,-77.6139,64.98,89,92,10.09
217,Naron,ES,2021-05-31 01:35:05,43.5167,-8.1528,61.02,87,5,5.86
218,Killarney,IE,2021-05-31 01:30:12,52.05,-9.5167,49.46,93,100,5.21
219,Avarua,CK,2021-05-31 01:35:05,-21.2078,-159.775,77.05,61,75,4.61
220,Urengoy,RU,2021-05-31 01:35:05,65.9667,78.3667,43.07,58,100,12.86
221,Upernavik,GL,2021-05-31 01:30:46,72.7868,-56.1549,30.83,95,100,3.62
222,Nanortalik,GL,2021-05-31 01:35:06,60.1432,-45.2371,36.19,89,6,17.74
223,Nurota,UZ,2021-05-31 01:35:06,40.5614,65.6886,75.29,17,0,3.4
224,Coquimbo,CL,2021-05-31 01:33:41,-29.9533,-71.3436,53.33,100,0,3.6
225,Terre Haute,US,2021-05-31 01:34:51,39.4667,-87.4139,63.77,60,1,0.0
226,Sao Gabriel Da Cachoeira,BR,2021-05-31 01:35:07,-0.1303,-67.0892,73.35,98,100,1.86
227,Tibacuy,CO,2021-05-31 01:35:07,4.3511,-72.4564,74.89,93,99,4.61
228,Port Lincoln,AU,2021-05-31 01:30:20,-34.7333,135.8667,59.5,36,100,16.28
229,Vila Franca Do Campo,PT,2021-05-31 01:35:07,37.7167,-25.4333,63.01,81,100,5.79
230,Gambela,ET,2021-05-31 01:35:08,8.25,34.5833,74.75,67,10,2.66
231,Ewo,CG,2021-05-31 01:35:08,-0.8725,14.8206,75.87,83,100,2.19
232,Tadine,NC,2021-05-31 01:35:08,-21.55,167.8833,73.08,54,71,15.37
233,Auriflama,BR,2021-05-31 01:35:09,-20.6856,-50.5547,68.88,50,89,2.04
234,Tikapur,NP,2021-05-31 01:35:09,28.5,81.1333,85.21,56,78,3.22
235,Gurupi,BR,2021-05-31 01:35:09,-11.7292,-49.0686,75.81,49,27,2.26
236,Lata,PT,2021-05-31 01:35:10,40.1629,-8.3327,64.72,82,6,1.03
237,Samaniego,CO,2021-05-31 01:35:10,1.3385,-77.5957,64.76,95,97,2.57
238,Kokologo,BF,2021-05-31 01:35:11,12.1897,-1.8856,80.46,62,55,18.23
239,Kloulklubed,PW,2021-05-31 01:35:11,7.0419,134.2556,84.7,78,100,22.1
240,Grimmen,DE,2021-05-31 01:35:11,54.1121,13.0405,47.91,79,0,4.34
241,Greeley,US,2021-05-31 01:33:43,40.4233,-104.7091,54.68,89,75,1.36
242,Wakkanai,JP,2021-05-31 01:35:12,45.4094,141.6739,48.18,71,40,11.5
243,Kavaratti,IN,2021-05-31 01:35:12,10.5669,72.642,82.81,78,100,19.98
244,Bhatkal,IN,2021-05-31 01:35:12,13.9667,74.5667,79.32,84,79,6.11
245,Yatou,CN,2021-05-31 01:30:39,37.15,122.3833,67.82,73,6,10.47
246,Longyearbyen,SJ,2021-05-31 01:31:01,78.2186,15.6401,33.64,80,90,4.61
247,Eureka,US,2021-05-31 01:30:45,40.8021,-124.1637,65.91,71,87,1.99
248,Adrar,MR,2021-05-31 01:35:13,20.5022,-10.0711,89.53,28,100,11.54
249,Isangel,VU,2021-05-31 01:35:13,-19.55,169.2667,75.31,73,90,6.6
250,Cidreira,BR,2021-05-31 01:35:14,-30.1811,-50.2056,48.52,65,24,7.31
251,Waw,SS,2021-05-31 01:35:14,7.7029,27.9953,76.87,65,7,3.87
252,Tual,ID,2021-05-31 01:35:14,-5.6667,132.75,81.63,77,100,19.04
253,San Policarpo,PH,2021-05-31 01:35:15,12.1791,125.5072,85.39,68,100,4.54
254,Port Moresby,PG,2021-05-31 01:31:52,-9.4431,147.1797,83.89,67,100,15.61
255,Mayo,US,2021-05-31 01:31:39,38.8876,-76.5119,54.95,87,87,5.99
256,Wuchang,CN,2021-05-31 01:35:15,44.9143,127.15,67.12,48,90,5.99
257,Margate,GB,2021-05-31 01:30:27,51.3813,1.3862,52.3,83,1,1.99
258,Thompson,CA,2021-05-31 01:35:16,55.7435,-97.8558,57.36,47,20,9.22
259,Camp Verde,US,2021-05-31 01:35:16,34.5636,-111.8543,90.14,14,8,11.21
260,Alcudia,ES,2021-05-31 01:35:16,39.8532,3.1214,69.19,66,100,5.53
261,Cabo San Lucas,MX,2021-05-31 01:32:35,22.8909,-109.9124,84.51,26,1,17.27
262,Guozhen,CN,2021-05-31 01:35:17,34.3659,107.359,87.3,26,71,9.01
263,Rosarito,MX,2021-05-31 01:35:17,32.3333,-117.0333,68.07,73,28,5.75
264,Usinsk,RU,2021-05-31 01:35:17,65.9939,57.5281,36.46,64,28,12.84
265,Tsiroanomandidy,MG,2021-05-31 01:35:18,-18.7667,46.0333,58.57,85,0,2.57
266,Mao,ES,2021-05-31 01:35:18,39.8885,4.2658,64.96,82,0,4.61
267,Roebourne,AU,2021-05-31 01:35:18,-20.7833,117.1333,75.13,49,2,13.29
268,Ancud,CL,2021-05-31 01:33:24,-41.8697,-73.8203,56.23,97,100,13.85
269,Nuuk,GL,2021-05-31 01:35:19,64.1835,-51.7216,34.41,93,75,12.66
270,Ponnani,IN,2021-05-31 01:35:19,10.767,75.9252,78.12,83,52,1.54
271,Deputatskiy,RU,2021-05-31 01:35:19,69.3,139.9,59.72,39,8,17.65
272,Malanje,AO,2021-05-31 01:35:20,-9.5402,16.341,58.59,53,17,4.88
